1,101,2,1,0
2,102,2,1,0
3,103,2,1,0
4,104,2,1,0
5,105,2,1,0
6,106,2,1,0
7,107,2,1,0
8,108,2,1,0
9,109,2,1,0
10,110,2,1,0
11,111,2,1,0
12,112,2,1,0
13,113,2,1,0
14,114,2,1,0
15,115,2,1,0
16,116,2,1,0
17,201,2,1,0
18,202,2,1,0
19,203,2,1,0
20,204,2,1,0
21,205,2,1,0
22,206,2,1,0
23,207,2,1,0
24,208,2,1,0
25,209,2,1,0
26,210,2,1,0
27,211,2,1,0
28,212,2,1,0
29,213,2,1,0
30,214,2,1,0
31,215,2,1,0
32,216,2,1,0
33,101,2,5,0
34,102,2,5,0
35,103,2,5,0
36,104,2,5,0
37,105,2,5,0
38,106,2,5,0
39,107,2,5,0
40,108,2,5,0
41,109,2,5,0
42,110,2,5,0
43,111,2,5,0
44,112,2,5,0
45,113,2,5,0
46,114,2,5,0
47,115,2,5,0
48,116,2,5,0
49,201,2,5,0
50,202,2,5,0
51,203,2,5,0
52,204,2,5,0
53,205,2,5,0
54,206,2,5,0
55,207,2,5,0
56,208,2,5,0
57,209,2,5,0
58,210,2,5,0
59,211,2,5,0
60,212,2,5,0
61,213,2,5,0
62,214,2,5,0
63,215,2,5,0
64,216,2,5,0
65,101,2,6,0
66,102,2,6,0
67,103,2,6,0
68,104,2,6,0
69,105,2,6,0
70,106,2,6,0
71,107,2,6,0
72,108,2,6,0
73,109,2,6,0
74,110,2,6,0
75,111,2,6,0
76,112,2,6,0
77,113,2,6,0
78,114,2,6,0
79,115,2,6,0
80,116,2,6,0
81,201,2,6,0
82,202,2,6,0
83,203,2,6,0
84,204,2,6,0
85,205,2,6,0
86,206,2,6,0
87,207,2,6,0
88,208,2,6,0
89,209,2,6,0
90,210,2,6,0
91,211,2,6,0
92,212,2,6,0
93,213,2,6,0
94,214,2,6,0
95,215,2,6,0
96,216,2,6,0
